airport_icao,alternate ID,country,agency,service_type,lead_time_arrival_hours,lead_time_departure_hours,open_mon,open_tue,open_wed,open_thu,open_fri,open_sat,open_sun,after_hours_available,canpass_only,contacts,notes,source,entered
KFXE,,US,CBP,US,5,,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,08:00-23:30,FALSE,FALSE,,,MD,19Nov25
KFAT,,US,CBP,US,5,,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,15:00-20:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KSTL,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KMSP,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,CLOSED,CLOSED,FALSE,FALSE,,,MD,19Nov25
KGSP,,US,CBP,US,5,,07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,07:30-17:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KBED,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-15:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KDTW,,US,CBP,US,12,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,,,MD,19Nov25
KBTV,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,FALSE,FALSE,,,MD,19Nov25
KCEF,,US,CBP,US,5,,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,06:00-20:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KRSW,,US,CBP,US,5,,CLOSED,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,11:30-19:30,CLOSED,TRUE,FALSE,,,MD,19Nov25
KMWH,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KFLL,,US,CBP,US,12,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,,,MD,19Nov25
KBOS,,US,CBP,US,12,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,,,MD,19Nov25
KTUS,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,TRUE,FALSE,,,MD,19Nov25
KPBI,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,TRUE,FALSE,,,MD,19Nov25
KMDW,,US,CBP,US,48,,08:30-23:00,08:30-23:00,08:30-23:00,08:30-23:00,08:30-23:00,08:30-23:00,08:30-23:00,FALSE,FALSE,,,MD,19Nov25
KPWK,,US,CBP,US,5,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,19Nov25
KPIT,,US,CBP,US,5,,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,TRUE,FALSE,,,MD,19Nov25
KMCO,,US,CBP,US,24,,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,FALSE,FALSE,,,MD,20Nov25
KCLE,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,TRUE,FALSE,,,MD,21Nov25
KBOI,,US,CBP,US,5,,08:30-19:30,08:30-19:30,08:30-19:30,08:30-19:30,08:30-15:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,21Nov25
KRNT,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,TRUE,FALSE,,US/CAN Citizen only,MD,22Nov25
KOPF,,US,CBP,US,5,,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,09:00-00:00,TRUE,FALSE,,,MD,22Nov25
KSAN,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,TRUE,FALSE,,,MD,22Nov25
KOGS,,US,CBP,US,5,,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,08:00-00:00,FALSE,FALSE,,,MD,22Nov25
KEGE,,US,CBP,US,5,,09:00-16:00,CLOSED,CLOSED,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,TRUE,FALSE,,,MD,22Nov25
KSAV,,US,CBP,US,5,,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,TRUE,FALSE,,Call during day if possible,MD,23Nov25
KGSO,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,23Nov25
KMSS,,US,CBP,US,5,,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,12:00-00:00,TRUE,FALSE,,,MD,23Nov25
KEWR,,US,CBP,US,5,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,,,MD,23Nov25
KORD,,US,CBP,US,24,,24H,24H,24H,24H,24H,24H,24H,FALSE,FALSE,,,MD,23Nov25
KSBN,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,TRUE,FALSE,,,MD,23Nov25
KMOT,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,TRUE,FALSE,,,MD,23Nov25
KBZN,,US,CBP,US,5,,09:00-17:00,CLOSED,CLOSED,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,TRUE,FALSE,,,MD,23Nov25
KCRQ,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,TRUE,FALSE,cbpsandiego@cbp.dhs.gov,,MD,24Nov25
KCOE,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,208-416-7026,,MD,24Nov25
KSWF,,US,CBP,US,5,,07:00-16:00,07:00-16:00,07:00-16:00,07:00-16:00,07:00-12:00,CLOSED,CLOSED,TRUE,FALSE,845-567-0969,,MD,24Nov25
KSJC,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,408-291-7388 ,,MD,24Nov25
KCLT,,US,CBP,US,24,,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,12:00-22:00,12:00-22:00,FALSE,FALSE,"704-329-6120, 980-235-1600",,MD,24Nov25
KILG,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-12:00,CLOSED,CLOSED,TRUE,FALSE,302-326-0600,,MD,28Oct25
KMMU,,US,CBP,US,5,,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-12:00,CLOSED,CLOSED,TRUE,FALSE,973.267.0302 / Supervisor direct #: 973-986-6885,,MD,28Oct25
KGRR,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,616 942 5245,,MD,28Oct25
KFCI,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,804 226 9675,,MD,28Oct25
KFNT,,US,CBP,US,5,,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,08:00-15:00,CLOSED,CLOSED,TRUE,FALSE,989-695-2871,Cannot clear non-US/non-Canadian crew members or passengers,MD,28Oct25
KMEM,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-14:00,CLOSED,CLOSED,TRUE,FALSE,901 480 4000,,MD,28Oct25
PASI,,US,CBP,US,5,,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,07:00-15:00,CLOSED,CLOSED,TRUE,FALSE,907-747-3374; 907 738 3331,,MD,28Oct25
KFSD,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-14:30,CLOSED,CLOSED,TRUE,FALSE,605-338-4384,,MD,18Nov25
KGPT,,US,CBP,US,24,,08:00-14:30,08:00-14:30,08:00-14:30,08:00-14:30,08:00-14:30,CLOSED,CLOSED,FALSE,FALSE,228-863-6350,"Actual hours 0800-1600, but must clear by 1430L day prior",MD,12Jan26
KHSA,,US,CBP,US,24,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,TRUE,FALSE,228-863-6350,,MD,04Mar26
KAVP,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,570-457-8024,,MD,04Mar26
KBQK,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,912-262-6692,,MD,04Mar26
KBTL,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,269-965-3349,Clearance time good for +/- 30 minutes,MD,04Mar26
KBWI,,US,CBP,US,5,,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,TRUE,FALSE,410-865-2100  6# then 4,,MD,04Mar26
KCAK,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,330 499 5070  ,Call KCLE for afterhrs/cant get a hold of anyone in KCAK,MD,26Oct25
KDAB,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:00,CLOSED,CLOSED,TRUE,FALSE,386 248 8043,,MD,04Mar26
KGRB,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-15:00,CLOSED,CLOSED,TRUE,FALSE,920.498.5038,,MD,04Mar26
KIND,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,317 241-9780,,MD,12Nov25
KLAN,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,517.327.1052,,MD,04Mar26
KMBS,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,989.695.2871,Per officer - Cannot process non-Canadian/US citizens 08-23-23,MD,26Oct25
KPBG,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,518.324.5617,,MD,04Mar26
KPHF,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,757-533-4200,,MD,26Oct25
KSYR,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-16:00,CLOSED,CLOSED,TRUE,FALSE,315-455-8446 /  CBPSYR@CBP.DHS.GOV,,MD,26Oct25
KTOL,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,419-732-4446,,MD,04Mar26
KCAE,,US,CBP,US,5,,08:30-15:00,08:30-15:00,08:30-15:00,08:30-15:00,08:30-15:00,CLOSED,CLOSED,TRUE,FALSE,803-822-5055,FBO has RSP,MD,04Mar26
KBDR,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,CLOSED,CLOSED,TRUE,FALSE,(860) 632-2246,,MD,04Mar26
KPCW,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,(419) 732-4446,Covered by KTOL port office,MD,04Mar26
KSSI,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,912-262-6692,,MD,04Mar26
KBVY,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,978-921-0782,,MD,04Mar26
KABQ,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-14:30,CLOSED,CLOSED,TRUE,FALSE,505 346 6992,,MD,04Mar26
KALB,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,518.869.7514 or 518-465-3420,,MD,28Oct25
KPSF,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,518.869.7514 or 518-465-3420,KALB clears here maybe? KALB ph# provided,MD,04Mar26
KCRW,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:30,CLOSED,CLOSED,TRUE,FALSE,304 344 8001,,MD,04Mar26
KDAY,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE, 937.890.7633 ext. 2# then press 3 ,,MD,04Mar26
KERI,,US,CBP,US,5,,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,814-833-1355,,MD,04Mar26
KSDF,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,502 366 3398,,MD,04Mar26
KROC,,US,CBP,US,5,,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-16:00,CLOSED,CLOSED,TRUE,FALSE,585 263 6293,,MD,04Mar26
KSHV,,US,CBP,US,24,,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,CLOSED,CLOSED,FALSE,FALSE,318.635.7873,US/CAN crew and US pax,MD,04Mar26
KABE,,US,CBP,US,5,,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,CLOSED,CLOSED,TRUE,FALSE,(610) 266-1042,,MD,04Mar26
KACY,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,609 484 1610,,MD,04Mar26
KADS,,US,CBP,US,24,,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-16:00,CLOSED,CLOSED,TRUE,FALSE,214-208-3636,,MD,04Mar26
KATW,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,920-968-2348,,MD,30Oct25
KBGM,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,FALSE,FALSE,,,MD,04Mar26
KCHA,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,423-855-6625,"Only United States citizens (USCs), Legal Permanent Residents (LPRs), and Canadian citizens can be cleared at this location.",MD,04Mar26
KCMH,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,614.497.1865 then 0#,,MD,04Mar26
KCVG,,US,CBP,US,5,,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,859-767-7002 ext 1,,MD,04Mar26
KFWA,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,260 747 7276,,MD,04Mar26
KGPI,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-15:00,CLOSED,CLOSED,TRUE,FALSE,406-257-7034 / Afterhrs PH: 406-250-8370,Weekend arrivals will be an after hours request and must be made by 1500L on Fridays through the RSP Portal. ,MD,30Oct25
KHVN,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,203.773.2040,All crew and passengers must be either a Canadian or US citizen or must have a green card to clear at this airport ,MD,04Mar26
KICT,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,316-613-4194,,MD,04Mar26
KINT,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,1-336-668-7272,,MD,04Mar26
KISP,,US,CBP,US,5,,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,FALSE,FALSE,631-753-2691,,MD,04Mar26
KJAN,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,601 932 3324,,MD,04Mar26
KLEX,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,TRUE,FALSE,(859) 425-3111,,MD,26Oct25
KMLB,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,321-674-5796,,MD,19Nov25
KMLI,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,309-799-8129,,MD,04Mar26
KORL,,US,CBP,US,5,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-16:00,CLOSED,CLOSED,TRUE,FALSE,407-825-5102,,MD,06Nov25
KPNS,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,850-433-3205,,MD,04Mar26
KRAC,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,FALSE,FALSE,1-262-633-0286,,MD,04Mar26
KRDU,,US,CBP,US,5,,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,09:00-19:30,FALSE,FALSE,919.674.3400,,MD,04Mar26
KRFD,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-14:00,CLOSED,CLOSED,TRUE,FALSE,815-968-0661,,MD,04Mar26
KRIC,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,TRUE,FALSE,804 226 9675 *1,,MD,04Mar26
KSBM,,US,CBP,US,24,,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-16:00,CLOSED,CLOSED,TRUE,FALSE,920.335.2225 ,,MD,04Mar26
KSRQ,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,CLOSED,CLOSED,TRUE,FALSE,941.359.5040,,MD,28Oct25
KCMI,,US,CBP,US,5,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-16:00,CLOSED,CLOSED,TRUE,FALSE,217-729-7607,,MD,04Mar26
KCRP,,US,CBP,US,5,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,361-879-4400,Closes for lunch 1200-1300,MD,04Mar26
KDFW,,US,CBP,US,5,,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-16:00,CLOSED,CLOSED,TRUE,FALSE,972 456 2201,,MD,28Oct25
KORH,,US,CBP,US,24,,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,07:00-17:00,CLOSED,CLOSED,FALSE,FALSE,508-793-0293,Can only clear US and Canadian citizens.,MD,04Mar26
KHUM,,US,CBP,US,24,,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,CLOSED,CLOSED,TRUE,FALSE,(504) 670-2405,,MD,04Mar26
KMRH,,US,CBP,US,5,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,FALSE,FALSE,252 726 5845,,MD,04Mar26
KTYS,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,FALSE,FALSE,901-480-4080 opt 0#,Can only process U.S/Canadian citizens,MD,04Mar26
KLCK,,US,CBP,US,24,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,FALSE,FALSE,614-497-1865,RSP required for afterhours,MD,04Mar26
KMDT,,US,CBP,US,48,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,CLOSED,CLOSED,FALSE,FALSE,717-691-7136 Ext 0,RSP required for afterhours,MD,04Mar26
KBTR,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,504-670-2450,,MD,04Mar26
KMKE,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,414-486-7790 #2,,MD,19Nov25
KPIA,,US,CBP,US,5,,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,309-697-4329 Option 2,,MD,04Mar26
KTKI,,US,CBP,US,24,,08:00-17:00,08:00-17:00,08:00-17:00,08:00-17:00,08:00-16:30,CLOSED,CLOSED,TRUE,FALSE,972-456-2333,Contact info is for KDFW who handles clearance,MD,04Mar26
KAMA,,US,CBP,US,48,,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,08:30-17:00,CLOSED,CLOSED,TRUE,FALSE,806-335-3533,Weekend requests need to be coordinated through the Signature FBO,MD,04Mar26
