ICAO,IATA,FAA,Name,Served City,Country,Latitude,Longitude,Category,Rescue and Fire Airport,Deice Info,Deice Not Available
CYCK,XCM,,Chatham-Kent,Chatham-Kent,Canada,42.3062306,-82.0817472,AirSprint Inc.: A,,No Deice Mentions Found,
CYCL,YCL,,Charlo,Charlo,Canada,47.99095,-66.3303944,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types 1 & 4 available",No
CYCN,YCN,,Cochrane,Cochrane,Canada,49.1067194,-81.0152472,AirSprint Inc.: B,,No Deice Mentions Found,
CYCW,YCW,,Chilliwack,Chilliwack ,Canada,49.1527778,-121.9388889,AirSprint Inc.: B,,No Deice Mentions Found,
CYCZ,YCZ,,Fairmont Hot Springs,Fairmont Hot Springs,Canada,50.3301639,-115.8734528,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	No service",No
CYDA,YDA,,Dawson City,Dawson City,Canada,64.042222,-139.130278,AirSprint Inc.: C,,No Deice Mentions Found,
CYDF,YDF,,Deer Lake Regional,Deer Lake,Canada,49.2091694,-57.3943583,AirSprint Inc.: A,,No Deice Mentions Found,
CYDN,YDN,,Dauphin Lt. Col W.G. Billy Barker VC,Dauphin,Canada,51.1015194,-100.0532611,AirSprint Inc.: A,,No Deice Mentions Found,
CYDQ,YDQ,,Dawson Creek,Dawson Creek,Canada,55.7422611,-120.1830583,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types 1 and 4 Available",No
CYEE,,,Midland Huronia,Midland,Canada,44.6848389,-79.9294028,AirSprint Inc.: B,,"DEICE/ANTI-ICE [25MAY24]:

•	Not available",Yes
CYEG,YEG,,Edmonton International,Edmonton,Canada,53.3098833,-113.5794944,AirSprint Inc.: A,A_9,"DEICE/ANTI-ICE: 

TYPE IV Available at FBO (Airside) for hangar spray
•	Fluid used is Cryotech Polar Guard Advance
•	Give as much notice as possible to FBO of request.
•	Pax permitted to load in hangar after spray completed.
•	If aircraft arriving need deice prior to type IV application, will take 2-3 hours under radiant heater in hangar to dry off, so for in and out trips during snow events use the CDF - info below.


CDF Info: 

•	Type 1 and Type 4 available
•	30 minutes prior to departure contact Edmonton De-Ice on 122.85 to request de-ice with following information:
·	Flight Number
·	AC Type
·	Fluids Required
-       Surfaces to be de-iced
Edmonton Deice will assign a deicing facility and provide expected que times. All de-ice ops are performed with engines running unless advised by iceman. AC should be configured for deicing prior to positioning on deice bay. For more info please contact de-ice manager @ 780.710.8546",No
CYEN,YEN,,Estevan Regional,Estevan,Canada,49.2101944,-102.9657583,AirSprint Inc.: A,,No Deice Mentions Found,
CYES,,,Edmundston,Edmundston,Canada,47.4905556,-68.4819444,AirSprint Inc.: A,,No Deice Mentions Found,
CYET,YET,,Edson,Edson,Canada,53.5789333,-116.4650583,AirSprint Inc.: A,,Error: Expecting value: line 1 column 1 (char 0),
CYEV,YEV,,Inuvik Mike Zubko,Inuvik,Canada,68.3037778,-133.483125,AirSprint Inc.: A,,No Deice Mentions Found,
CYFB,YFB,,Iqaluit,Iqaluit,Canada,63.7565722,-68.5561167,AirSprint Inc.: A,A_5,No Deice Mentions Found,
CYFC,YFC,,Fredericton International,Fredericton ,Canada,45.8688778,-66.5372194,AirSprint Inc.: A,,"OC NOTES: 

•	All arr/dep notification to be completed by phone for both Capital Airways or Maritime Helicopter

•	Do not overnight aircraft at Maritime Helicopter, please have crew taxi aircraft back to Capital after dropping off passengers if services are required.

•	Capital Airways: only requires the billing information for fuel/deice payments, don't need to send card information.

•	Owner Earl Brewer from Marine Capital is part owner of Maritime Helicopter

---

DEICE-ANTI-ICE:

•	Deice available from Air Canada, will be set up by FBO. Not available at Capital Airways as per Jerry, 08FEB24 - AOS.
Call 506-446-6134 for de-ice, ask to talk to ramp lead",No
CYFD,,,Brantford,Brantford,Canada,43.1323833,-80.3415194,AirSprint Inc.: A,,No Deice Mentions Found,
CYFJ,YTM,,La Macaza Mont Tremblant International,La Macaza,Canada,46.4090833,-74.780075,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type I & IV available at FBO",No
CYFO,YFO,,Flin Flon,Flin Flon,Canada,54.6780639,-101.6818806,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

- Can be available with prior notice though FBO
- Type 1 and 4
- Mobile truck",No
CYFS,YFS,,Fort Simpson,Fort Simpson,Canada,61.7601528,-121.2365278,AirSprint Inc.: A,,No Deice Mentions Found,
CYGD,,,Goderich,Goderich,Canada,43.7678639,-81.7106944,AirSprint Inc.: A,,No Deice Mentions Found,
CYGE,,,Golden,Golden ,Canada,51.2991861,-116.9821222,AirSprint Inc.: B,,No Deice Mentions Found,
CYGK,YGK,,Kingston,Kingston,Canada,44.2258639,-76.5966056,AirSprint Inc.: A,,"DEICE/ANTI-ICE [31MAY24]:

•	Types 1 & 4 available at FBO",No
CYGM,YGM,,Gimli Industrial Park,Gimli,Canada,50.6280556,-97.0433333,AirSprint Inc.: A,,No Deice Mentions Found,
CYGP,YGP,,Michel-Pouliot Gaspé,Gaspe,Canada,48.7751639,-64.4796639,AirSprint Inc.: A,,No Deice Mentions Found,
CYGQ,YGQ,,Geraldton,Geraldton,Canada,49.7786889,-86.9385528,AirSprint Inc.: A,,No Deice Mentions Found,
CYGR,YGR,,Iles-de-la-Madeleine,Iles-de-la-Madeleine,Canada,47.4250667,-61.7779778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Simon Bergeron, 418-590-0577 - Call one day prior to arrange De-ice",No
CYGV,YGV,,Havre Saint-Pierre,Havre St-Pierre,Canada,50.2819444,-63.6111111,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Available at FBO",No
CYHD,YHD,,Dryden Regional,Dryden,Canada,49.8315111,-92.743675,AirSprint Inc.: A,,"ANTI-ICE/DEICE:

•	Only Type 1 available (09FEB24)
•	PH: 807-938-8710",No
CYHF,YHF,,Hearst (René Fontaine) Muni,Hearst,Canada,49.71395,-83.6870639,AirSprint Inc.: B,,No Deice Mentions Found,
CYHM,YHM,,John C. Munro Hamilton International,Hamilton,Canada,43.1736556,-79.9350778,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE [23FEB25]:

1. Cargojet: Arrange through Hamilton JetPort
•	Types 1 and 4 Available

2. Executive Aviation
•	Types 1 and 4 Available
•	PH: 905-308-4450 
•	FREQ: 131.67
•	1hr prior notice required",No
CYHR,YHR,,Chevery,Chevery,Canada,50.4689722,-59.6366778,AirSprint Inc.: A,,"RESTRICTIONS: 
Limited winter maintenance - no deice/anti-ice",No
CYHS,,,Hanover Saugeen Muni,Walkerton,Canada,44.1580111,-81.0632,AirSprint Inc.: B,,No Deice Mentions Found,
CYHU,YHU,,Montreal Metropolitan,Montreal,Canada,45.5180583,-73.4169944,AirSprint Inc.: A,A_1,"DEICE/ANTI-ICE:

•	Type 1 AND 4 available",No
CYHZ,YHZ,,Halifax Stanfield International,Halifax,Canada,44.8796806,-63.5101917,AirSprint Inc.: A,A_8,"DEICE/ANTI-ICE:

•	Available
•	Central De-icing also available through calling Inland 
ICE MAN freq: 122.950 or phone: 902-410-7748
•	Inland does have company AMEX on file for billing of services.",No
CYJT,YJT,,Stephenville Dymond International,Stephenville,Canada,48.54145,-58.5499083,AirSprint Inc.: A,A_6,Error: Expecting value: line 1 column 1 (char 0),
CYKA,YKA,,Kamloops,Kamloops,Canada,50.7025111,-120.4486056,AirSprint Inc.: A,A_5,"DEICE/ANTI-ICE:

•	Available, through different company than FBO",No
CYKF,YKF,,Region of Waterloo International,Kitchener,Canada,43.460775,-80.3787139,AirSprint Inc.: A,,"DEICE/ANTI-ICE [08MAY24]:

•	Type 1 & IV available 24/7",No
CYKZ,YKZ,,Buttonville Municipal Airport,Markham,Canada,43.8608556,-79.368725,AirSprint Inc.: NC,,No Deice Mentions Found,
CYLB,YLB,,Lac La Biche,Lac La Biche,Canada,54.7704139,-112.0317778,AirSprint Inc.: A,,No Deice Mentions Found,
CYLJ,YLJ,,Meadow Lake,Meadow Lake,Canada,54.1253917,-108.5228972,AirSprint Inc.: A,,No Deice Mentions Found,
CYLL,YLL,,Lloydminster,Lloydminster,Canada,53.3105833,-110.0741611,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	De-ice services through Border City Aviation
•	Type I & IV available
•	Typically require 60 mins notice to prepare equipment. 
•	Call 780-875-5834",No
CYLS,YLK,,Lake Simcoe Regional,Barrie-Orillia,Canada,44.485278,-79.555556,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types 1 & 4 available at Chartright FBO
•	PH: 705.487.0999 EXT 1 -- Aircraft must taxi to the Main Apron",No
CYLW,YLW,,Kelowna International,Kelowna ,Canada,49.9572222,-119.3777778,AirSprint Inc.: A,,"DEICE/ANTI-ICE: 

•	FBO Has a deice truck with Type 1/4 and can spray at the FBO.
•	Should deice services be required, the FBO has asked that the request be called in and then an online form be filled out. The website for this form can be found at: https://waiver.fr/p-tnudY
•	Truck is often U/S, good to double check it is operational if expected a de-ice will be required.  If outside of 0600-2000L, double check as well for availability as it's unlikely to get a spray after hours.",No
CYME,YME,,Matane/Russell-Burnett,Matane,Canada,48.8562889,-67.4523,AirSprint Inc.: A,,No Deice Mentions Found,
CYML,YML,,Charlevoix,Charlevoix,Canada,47.5975889,-70.2238556,AirSprint Inc.: A,,No Deice Mentions Found,
CYMM,YMM,,Fort McMurray International,Fort McMurray,Canada,56.6531972,-111.2233306,AirSprint Inc.: A,A_6,"Deice/Anti-ice availability (Types available): Type 1 & Type 4 (Please call a day before your arrival to ensure this service is available, if it is not, it will be provided by a third-party operator out of the main terminal.",No
CYMW,YMW,,Maniwaki,Maniwaki ,Canada,46.272825,-75.9905333,AirSprint Inc.: A,,No Deice Mentions Found,
CYMX,YMX,,Montréal–Mirabel International,Montreal,Canada,45.6797806,-74.0387083,AirSprint Inc.: A,A_7,"DEICE/ANTI-ICE [10JUN24]:

•	Available at Helibellule FBO
•	If using Nolinor FBO, deice arranged through Aeromag - Email: real.lepine@aeromag2000.com, c.weaver@aeromag2000.com",No
CYNA,YNA,,Natashquan,Natashquan,Canada,50.1900833,-61.7889472,AirSprint Inc.: B,,No Deice Mentions Found,
CYND,YND,,Ottawa - Gatineau,Ottawa,Canada,45.521389,-75.564167,AirSprint Inc.: A,,"DEICE/ANTI-ICE [25JUL24]:

•	Types I & IV available at FBO",No
CYNM,YNM,,Matagami,Matagami,Canada,49.7617722,-77.8027056,AirSprint Inc.: A,,No Deice Mentions Found,
CYOJ,YOJ,,High Level,High Level,Canada,58.6215778,-117.1646694,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

Flight Fuels 
•	PH:  780-926-3031 or 780-926-6716",No
CYOO,YOO,,Oshawa,Oshawa,Canada,43.922778,-78.895,AirSprint Inc.: B,,"RESTRICTIONS [UPDATED 03FEB25]:

•	PPR 2230L-0630L - Flights prohibited between 2230L-0630L unless approved by the airport manager T: 1.905.576.8146, cell phone 905.243.9376

•	Winter Maintenance limited
        NO DEICE AVAILBLE - COULD IMPACT OPS. 

•	Wet, Snowy, Icy Runway May Limit Operations",Yes
CYOS,YOS,,Owen Sound Billy Bishop Regional,Owen Sound,Canada,44.590278,-80.8375,AirSprint Inc.: B,,"DEICE/ANTI-ICE:

•	Not available",Yes
CYOW,YOW,,Ottawa - Macdonald-Cartier,Ottawa,Canada,45.3225,-75.669167,AirSprint Inc.: A,A_8,"DEICE/ANTI-ICE:

Aviat/Skyservice *First choice time permitting*
•	Types 1 and 4 Available and open at 0630am 


Central DeIce Facility CDF - ""IDS"" *Second choice* (Credit card now on file)
•	Crew - 30-60 Mins prior to leaving the FBO for the Spray call the IDS TOWER on their Frequency ""PAD CONTROL"" 122.925 with contamination 
•	Contact phone if required 613-248-0228
•	Type 4 fluid is EG106. Refer to airport charts for CDF Location and Procedures.

AIRSPRINT TYPE 1 BOTTLES PROHIBITED FROM SPRAYING AT FBO, IF DE-ICE REQUIRED, MUST USE CDF",No
CYPA,YPA,,Prince Albert Glass Field,Prince Albert ,Canada,53.2145778,-105.6729806,AirSprint Inc.: A,,"DEICE/ANTI-ICE [15MAY24]:

•	Types 1 & 4 not available at Snowbird Aviation
•	Technically, they have it available, but will only apply it to prop aircraft, not jets (as of 09DEC24)",Yes
CYPD,YPS,,Port Hawkesbury,Port Hawkesbury,Canada,45.6565028,-61.3683667,AirSprint Inc.: A,,No Deice Mentions Found,
CYPE,YPE,,Peace River,Peace River,Canada,56.2272917,-117.4484194,AirSprint Inc.: A,,"DE-ICE/ANTI-ICE: 

- Not Available

---

RESTRICTIONS:

•      Wet Runway May Limit Operations for AOC flights.
•	Runway Contamination (Snow, Ice) May Limit Operations
•       No Deice/Anti-ice Available",Yes
CYPG,YPG,,Portage La Prairie,Portage,Canada,49.902778,-98.274722,AirSprint Inc.: A,,"DE-ICE/ANTI-ICE:

- Not Available",Yes
CYPK,,,Pitt Meadows,Pitt Meadows,Canada,49.216111,-122.712778,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 De-Ice fluid now available in CYPK. 20JAN25",No
CYPL,YPL,,Pickle Lake,Pickle Lake,Canada,51.4464833,-90.2141333,AirSprint Inc.: A,,No Deice Mentions Found,
CYPN,YPN,,Port-Menier,Port-Menier,Canada,49.8365167,-64.2886194,AirSprint Inc.: A,,No Deice Mentions Found,
CYPQ,YPQ,,Peterborough,Peterborough,Canada,44.23,-78.363333,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Types I & IV available at FBO, minimum 4 hours advance booking required",No
CYPR,YPR,,Prince Rupert,Prince Rupert,Canada,54.285833,-130.444722,AirSprint Inc.: A,,No Deice Mentions Found,
CYPW,YPW,,Powell River,Powell River,Canada,49.834167,-124.500278,AirSprint Inc.: B,,No Deice Mentions Found,
CYPZ,YPZ,,Burns Lake,Burns Lake,Canada,54.376389,-125.951389,AirSprint Inc.: A,,No Deice Mentions Found,
CYQA,YQA,,Muskoka,Gravenhurst,Canada,44.974722,-79.303333,AirSprint Inc.: A,,"DEICE/ANTI-ICE [13MAY24]:

•	Not Available",Yes
CYQB,YQB,,Quebec - Jean Lesage International,Quebec City,Canada,46.791111,-71.393333,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 de-icing and type 4 anti-icing through Avjet FBO",No
CYQD,YQD,,The Pas,The Pas,Canada,53.9712833,-101.0910472,AirSprint Inc.: A,,"DEICE / ANTI-ICE [13MAY24]:

•	Type 1 de-ice available (0800L - 2000L) // no callout available after hours
•	Subject to change in the future",No
CYQF,YQF,,Red Deer Regional,Red Deer,Canada,52.1822861,-113.8944889,AirSprint Inc.: A,,"DEICE/ANTI-ICE: 

•	Services Available:  Type 1 and Type 4
•	To arrange: Contact Tucana Aviation - 403-596-6320

Fees:
•	Application: $180.00
•	Type 1 = $8.88/L +tax
•	Type 4 = $10.86/L +tax
•	Call out fee applies if de-icing is done outside of operating hours",No
CYQG,YQG,,Windsor,Windsor,Canada,42.275864,-82.957649,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

Airways Aviation

•	(Conrad) - 519 - 566-7801 
•	Type 1 and Type 3 (All Clear AeroClear Max 100%)
•	Call to setup, call to confirm gate assignment when ready to taxi over

Gateway FBO 

•	Type 4 (no type 1)",No
CYQH,YQH,,Watson Lake,Watson Lake,Canada,60.116389,-128.8225,AirSprint Inc.: A,,No Deice Mentions Found,
CYQI,YQI,,Yarmouth,Yarmouth,Canada,43.826944,-66.088056,AirSprint Inc.: A,,No Deice Mentions Found,
CYQK,YQK,,Kenora,Kenora,Canada,49.7883278,-94.3631139,AirSprint Inc.: A,,"DEICE/ANTI-ICE [09MAY24]

•	Type 1 De-Ice Fluid per Kenora Shell
•	Kenora Shell - (807)-548-9907",No
CYQL,YQL,,Lethbridge,Lethbridge,Canada,49.6302278,-112.7996972,AirSprint Inc.: A,,"DE-ICE/ANTI-ICE [10MAY24]:

•	Type 1 and 4 available",No
CYQM,YQM,,Greater Moncton Roméo LeBlanc International,Moncton,Canada,46.1160944,-64.6786056,AirSprint Inc.: A,A_6,"DEICE/ANTI-ICE [08MAY24]:

•	Type 1 and IV available at FBO",No
CYQQ,YQQ,,CFB Comox,Comox,Canada,49.7108333,-124.8866667,AirSprint Inc.: A,,"DEICE/ANTI-ICE (01SEP16):

•	Type 1 and 4 available thru airport manager 250-207-1658
•	Available 0500L - 2300L give as much advance notice as possible",No
CYQR,YQR,,Regina International,Regina,Canada,50.4321917,-104.6660528,AirSprint Inc.: A,,No Deice Mentions Found,
CYQS,YQS,,St Thomas Municipal, St. Thomas,Canada,42.77,-81.110833,AirSprint Inc.: A,,"FBO INFORMATION:

St. Thomas Airport
•	PH: 519-633-5866
•	Afterhours PH: 519-521-6490
•	Email: darndt@city.st-thomas.on.ca
•	Additional airport email address - cyqsairport@stthomas.ca
•	Hangar space available on request
•	Deice Type 1 and 4 available
•	GPU available
•       AVCARD not accepted 


FUEL:

•	JETA available at FBO",No
CYQT,YQT,,Thunder Bay,Thunder Bay,Canada,48.371944,-89.323889,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services available at FBO",No
CYQU,YQU,,Grande Prairie,Grande Prairie,Canada,55.1819028,-118.8871889,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

As of 23JAN23 DEICE contract is now with GAT Canada. No longer Strategic. Crews can phone or email Mary June directly for information regarding the deicing schedule.

Contact Info:

Mary June 

•	Email: maryjune.cabarles@wearegat.net
•	Phone: 780-228-3772
•	Ops phone for crew: 780-814-1941
•	Unicom: 129.20

NOTES:

•	Fluid: Dow XL 54 (type 1) / Dow Endurance UCAR EG 106 (type 4)

•	GAT is on contract with Encore and Jazz. They will NOT deice our airplanes if they are expecting Jazz or Encore within 30 minutes. Deicing request form is available from Happy Gas. Suggest calling for information anyway. Significant delays could be experienced.

•	They will indicate that they are unable a ""live-spray"", but if you call the iceman and explain that the airplane is a Jet, they will do it.",No
CYQV,YQV,,Yorkton Regional,Yorkton,Canada,51.2647222,-102.4613889,AirSprint Inc.: A,,No Deice Mentions Found,
CYQW,YQW,,North Battleford,North Battleford,Canada,52.7691,-108.2444611,AirSprint Inc.: A,,No Deice Mentions Found,
CYQX,YQX,,Gander International,Gander,Canada,48.9370194,-54.5681361,AirSprint Inc.: A,A_5,"DEICE/ANTI-ICE

•	Available at FBO",No
CYQY,YQY,,JA Douglas McCurdy Sydney,Sydney,Canada,46.1615194,-60.0480417,AirSprint Inc.: A,,"DEICE/ANTI-ICE [06JUN24]:

•	Types I & IV available at FBO",No
CYQZ,YQZ,,Quesnel,Quesnel,Canada,53.026075,-122.5103667,AirSprint Inc.: A,,No Deice Mentions Found,
CYRC,,,Chicoutimi Saint-Honoré,Chicoutimi,Canada,48.5206972,-71.0505722,AirSprint Inc.: A,,No Deice Mentions Found,
CYRI,YRI,,Riviere-Du-Loup,Riviere-du-Loup,Canada,47.764444,-69.584722,AirSprint Inc.: A,,"DE-ICE/ANTI-ICE:

- Type 1 available with 2 hours prior notice",No
CYRL,YRL,,Red Lake,Red Lake,Canada,51.0670917,-93.7930417,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 available.",No
CYRM,YRM,,Rocky Mountain House,Rocky Mountain House,Canada,52.4296833,-114.9042333,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Not available",Yes
CYRP,,,Carp,Ottawa,Canada,45.319167,-76.022222,AirSprint Inc.: B,,No Deice Mentions Found,
CYRQ,YRQ,,Trois-Rivieres,Trois-Rivieres,Canada,46.352778,-72.679444,AirSprint Inc.: A,,No Deice Mentions Found,
CYRT,YRT,,Rankin Inlet,Rankin Inlet,Canada,62.8106611,-92.1146111,AirSprint Inc.: A,,No Deice Mentions Found,
CYRV,YRV,,Revelstoke,Revelstoke,Canada,50.9623417,-118.1843528,AirSprint Inc.: A,,No Deice Mentions Found,
CYSA,,,Stratford Municipal,Stratford,Canada,43.4158694,-80.9340778,AirSprint Inc.: A,,No Deice Mentions Found,
CYSB,YSB,,Sudbury,Sudbury,Canada,46.625,-80.798889,AirSprint Inc.: A,,"DEICE/ANT-ICE:

Executive Aviation YSB
•	Spray Location: Apron 1, Stand 4 or 5


Pre arranged deice phone:

•	705-698-3866 Primary (FBO Ramp)
•	249-377-6021 Secondary (Manager)


Procedure:

•	Call primary number advise 30 min prior (5am-8pm), 1 hour prior (after hours)
•	Give a/c reg and flight number, arrange hand signals if req, email for receipt, type and areas to be sprayed.
•	Taxi to deice apron 1. Airport policy requires marshaller to park.
•	Shutdown engines, all deicing is engines off.
•	Billing through World Fuel account. No card required.


Fluids [06MAY24]:

•	Type 1: Dow UCAR ADF XL54 Premix
•	Type 4: Dow UCAR Endurance EG106",No
CYSC,YSC,,Sherbrooke,Sherbrooke,Canada,45.438056,-71.690556,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 & 4 Available
•	Truck, Flat Fee: $250.00 (whether de-icing is applied, or not)
•	Type 1 glycol: $ 9.00 / liter
•	Type 4 glycol: $ 13.00 / liter",No
CYSG,,,St Georges,St Georges,Canada,46.096389,-70.714722,AirSprint Inc.: A,,No Deice Mentions Found,
CYSJ,YSJ,,Saint John,Saint John,Canada,45.316111,-65.890278,AirSprint Inc.: A,,No Deice Mentions Found,
CYSN,YCM,,St Catharines - Niagara District,St Catharines,Canada,43.191667,-79.171667,AirSprint Inc.: A,,No Deice Mentions Found,
CYSP,YSP,,Marathon,Marathon,Canada,48.7571056,-86.3458472,AirSprint Inc.: B,,No Deice Mentions Found,
CYSU,YSU,,Summerside,Summerside ,Canada,46.440556,-63.833611,AirSprint Inc.: A,,No Deice Mentions Found,
CYTA,YTA,,Pembroke,Pembroke,Canada,45.864444,-77.251667,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Services Available: Type 1
•	Fees: $250 + Glycol Spent",No
CYTH,YTH,,Thompson,Thompson,Canada,55.8046306,-97.8624083,AirSprint Inc.: A,,"DE-ICE/ANTI-ICE:

- Available
- Location: East edge of Apron 1",No
CYTN,,,Trenton,Trenton,Canada,45.6118167,-62.6211167,AirSprint Inc.: A,,"RESTRICTIONS:

•	Winter: Limited Winter Maintenance, No De-ice/anti-ice (March 2025 confirmed and not expected anytime soon), Hangar available and can fit the Embraer, Runway Contamination (Snow, Ice) May Limit Operations

*** advised to avoid overnight winter parking there by the DP ***",No
CYTS,YTS,,Timmins,Timmins,Canada,48.569722,-81.376667,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

MaintAir:

•	Available (Type 1 & Type 3)
•	0330L - 2359L
•	Contact: 705-262-4849 // asif.shaikh@maintair.com
•	45 mins to 1hr notice

Air Creebec
•	Available (Types 1 & 4)
•	0600L - 1800L
•	***# for deice 705.264.9521 EXT 3158***",No
CYUL,YUL,," Montréal Pierre-Elliott-Trudeau Intl, Qc",Dorval,Canada,45.4704639,-73.7409306,AirSprint Inc.: A,A_9,"DE-ICE/ANTI-ICE

Type 4 hangar anti-ice available through Execaire. 

CDF Company: AeroMag
Type(s) Available: Type 1 & 4
Brand: LNT E188 / Endurance EG106
Hours of Operation: 0500-2300 (OT available on case-by-case basis)
Phone: 514-636-1850
Special Procedures: AeroMag Form Required (procedure below)

AeroMag Form:
- Crew to request form from Flight Support.
- Crew to fill out applicable information on the form. 
- Execaire will send the completed forms to AeroMag on behalf of the crew during regular business hours.
- Form to be sent to yuladhoc@aeromag2000.com
- AMEX ending in 1001 is on file and can be included on the form as the payment method. 
- Send the form 30 min – 1 hour prior to make sure we have time to process and approve the spot
- Form location (FS): Dropbox/FC Flight Ops Shared/Airport Specific Documents/CYUL
- PH: 514-636-1930 ext. 127",No
CYUY,YUY,,Rouyn-Noranda,Rouyn-Noranda,Canada,48.206111,-78.835556,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	De-icing type 1 $4.95/L, type 4 $6.95/L plus application fee of $160",No
CYVB,YVB,,Bonaventure,Bonaventure,Canada,48.0710861,-65.4602222,AirSprint Inc.: A,,"DEICE/ANTI-ICE:

•	Type 1 Services Available
•	Current price 16NOV16 approx $15/L",No
CYVC,YVC,,La Ronge Barber Field,La Ronge,Canada,55.1513389,-105.2669861,AirSprint Inc.: A,,"Error: HTTPSConnectionPool(host='app.fl3xx.us', port=443): Max retries exceeded with url: /api/external/airports/CYVC/operationalNotes?from=2025-11-12&to=2025-11-12 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7eb2b4e6ed50>, 'Connection to app.fl3xx.us timed out. (connect timeout=10)'))",
